uc_id,share_intervals_sync_positive_burden_q95,mean_tb_night_anom_during_sync_positive_q95,total_weighted_burden_q95,n_sync_positive_intervals_q95,mean_t2m_c,mean_ring_veg,country,wb_income,un_sdg_reg,population_2025,developing_economy,baseline_heat_tertile,baseline_veg_tertile
2507,0.02930056710775047,1.5338850034335278,2642626.359081364,31,15.558242010789098,955.5850661625709,South Africa,Upper Middle,Sub-Saharan Africa,55575.22982,1,middle,lower_veg
2514,0.01984877126654064,0.8051403130842645,6332503.733044848,21,18.287775833131732,1502.5879017013233,Uganda,Low income,Sub-Saharan Africa,374528.2554,1,middle,higher_veg
2517,0.03213610586011342,0.8576880558400838,3425372.6307926564,34,19.107414993975755,1103.093572778828,Kenya,Lower Middle,Sub-Saharan Africa,117462.5823,1,middle,middle
2537,0.03213610586011342,2.3091779358977806,49602536.94880296,34,12.666090045253615,1195.538752362949,South Korea,High income,Eastern and South-Eastern Asia,631782.4724,0,cooler,higher_veg
2539,0.01606805293005671,1.001304459035131,1561622.3718767376,17,25.46449390079667,960.069943289225,Philippines,Lower Middle,Eastern and South-Eastern Asia,91740.46784,1,hotter,lower_veg
2541,0.030245746691871456,1.523937046460171,3745215.967889523,32,15.199175268821044,1169.8137996219282,United States,High income,Northern America,76799.75972,0,middle,higher_veg
2544,0.031190926275992438,1.6538422276493672,142209557.26086244,33,12.049276426719585,1667.9196597353498,Ecuador,Upper Middle,Latin America and the Caribbean,2605678.13,1,cooler,higher_veg
2549,0.023629489603024575,3.1390498287774395,11620175.024349123,25,7.963305953201177,976.4829867674858,Canada,High income,Northern America,148072.5144,0,cooler,lower_veg
256,0.03497164461247637,3.182198576608014,6958110.90496432,37,8.425342067172888,980.2325141776938,Czechia,High income,Europe,59096.5796,0,cooler,lower_veg
2563,0.036862003780718335,2.8686762649560658,9021972.168016665,39,10.282821183276731,1057.1729678638942,Germany,High income,Europe,80640.89438,0,cooler,middle
2565,0.035916824196597356,1.8510450219051697,3671820.947556952,38,13.920207186272101,1152.7211720226844,Italy,High income,Europe,52201.25167,0,cooler,higher_veg
