model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times,p_value_holm_within_model
post_dhd_memory_differential_decay_1e4_h,differential_decay_1e4_h,post_dhd_lag3_x_storage,0.07946227282693653,0.019370717594218288,0.041495666342268686,0.11742887931160438,4.10218529284915,4.0926630908140314e-05,2307336,2769,1057,0.00016370652363256126
post_dhd_memory_differential_decay_1e4_h,differential_decay_1e4_h,post_dhd_lag4_x_storage,0.06528811156160706,0.020040126982176238,0.02600946267654164,0.10456676044667249,3.2578691552041836,0.001122521510331397,2307336,2769,1057,0.003367564530994191
post_dhd_memory_inversion_0p0,inversion_0p0,z_t2m_true_night_pct_rank,-0.007274547464744959,0.0005543407597917883,-0.008361055353936863,-0.006188039575553054,-13.122880351568044,2.4350096762701092e-39,2403557,2769,1058,2.1915087086430982e-38
post_dhd_memory_inversion_0p0,inversion_0p0,z_vpd_pct,0.017147799114733246,0.0005939302935880095,0.015983695739300748,0.018311902490165743,28.871736801201333,2.7037196766499025e-183,2403557,2769,1058,2.974091644314893e-182
post_dhd_memory_inversion_0p0,inversion_0p0,z_rzsm_pct,-0.01658900243973853,0.000667493949934917,-0.017897290581610967,-0.015280714297866092,-24.852663370740686,2.419995146100829e-136,2403557,2769,1058,2.419995146100829e-135
post_dhd_memory_inversion_0p0,inversion_0p0,post_dhd_lag1,-0.0006013495905860749,0.0014140395804982183,-0.003372867168362583,0.002170167987190433,-0.4252706917681875,0.6706393561957402,2403557,2769,1058,1.0
post_dhd_memory_inversion_0p0,inversion_0p0,post_dhd_lag2,0.0017414409177212902,0.0014307614738843092,-0.0010628515710919557,0.004545733406534536,1.2171427240024373,0.22354991771683208,2403557,2769,1058,0.8941996708673283
post_dhd_memory_inversion_0p0,inversion_0p0,post_dhd_lag3,0.0003834904134216413,0.0014606181451971125,-0.0024793211511646993,0.003246301978007982,0.2625535049544991,0.7928947406523704,2403557,2769,1058,1.0
post_dhd_memory_inversion_0p0,inversion_0p0,post_dhd_lag4,0.0007796768955970065,0.0015509936108505087,-0.002260270581669991,0.0038196243728640033,0.5026951047009536,0.615178651967432,2403557,2769,1058,1.0
post_dhd_memory_inversion_0p0,inversion_0p0,post_dhd_lag1_x_storage,0.009687232321126749,0.0014817507879740215,0.006783000776697667,0.01259146386555583,6.5376933825505,6.247483834814106e-11,2403557,2769,1058,4.997987067851284e-10
